CAGR,MDD,Sharpe,Calmar,Final,Trades,WinRate,AvgTrade,MedianTrade,AvgHoldDays,ProfitFactor,Strategy,Signals,rs,rsacc,vcp_shape,breakvol,stop,full_stack,regime,near_high
0.04563826474567367,-0.5999042695836325,0.3227723206415188,0.07607591254076122,1.684722460720019,178,0.24719101123595505,0.023045237862425717,-0.07427280207968812,32.37640449438202,1.4086791448884595,early_fast,423,85,5,soft,1.2,0.07,False,fast,False
0.03516058764862562,-0.5050926916977949,0.283908697326357,0.06961214887199905,1.4976440467986785,133,0.24812030075187969,0.025436915468013035,-0.07427280207968812,32.31578947368421,1.4398494020281767,confirmed_fast_high,266,85,5,soft,1.2,0.07,True,fast,True
0.033824277219620225,-0.5050926916977951,0.2765638198957106,0.06696647521452917,1.4752026287416673,134,0.2462686567164179,0.02468796533288157,-0.07427280207968812,32.26119402985075,1.425959258557126,confirmed_fast,270,85,5,soft,1.2,0.07,True,fast,False
0.033824277219620225,-0.5050926916977951,0.2765638198957106,0.06696647521452917,1.4752026287416673,134,0.2462686567164179,0.02468796533288157,-0.07427280207968812,32.26119402985075,1.425959258557126,confirmed_hybrid,269,85,5,soft,1.2,0.07,True,hybrid,False
0.033824277219620225,-0.5050926916977951,0.2765638198957106,0.06696647521452917,1.4752026287416673,134,0.2462686567164179,0.02468796533288157,-0.07427280207968812,32.26119402985075,1.425959258557126,fast_rs85,270,85,5,soft,1.2,0.07,True,fast,False
0.033824277219620225,-0.5050926916977951,0.2765638198957106,0.06696647521452917,1.4752026287416673,134,0.2462686567164179,0.02468796533288157,-0.07427280207968812,32.26119402985075,1.425959258557126,fast_acc5,270,85,5,soft,1.2,0.07,True,fast,False
0.033824277219620225,-0.5050926916977951,0.2765638198957106,0.06696647521452917,1.4752026287416673,134,0.2462686567164179,0.02468796533288157,-0.07427280207968812,32.26119402985075,1.425959258557126,fast_bv1.2,270,85,5,soft,1.2,0.07,True,fast,False
0.033824277219620225,-0.5050926916977951,0.2765638198957106,0.06696647521452917,1.4752026287416673,134,0.2462686567164179,0.02468796533288157,-0.07427280207968812,32.26119402985075,1.425959258557126,fast_stop7,270,85,5,soft,1.2,0.07,True,fast,False
0.032914936418527274,-0.5340635771251351,0.2699995935164214,0.06163112001703696,1.4601078354290022,140,0.24285714285714285,0.023201928026636537,-0.07427280207968823,32.378571428571426,1.3994058606936781,fast_bv1.0,287,85,5,soft,1.0,0.07,True,fast,False
0.03333086486926007,-0.5540339272237833,0.27653517373083086,0.06016033176213267,1.4669945120001406,109,0.22018348623853212,0.03042041613870253,-0.07427280207968834,32.73394495412844,1.5034749453359286,m200_bv1.4,225,85,5,soft,1.4,0.07,True,m200,False
0.02822637622690194,-0.5384857642012594,0.24780875508521932,0.05241805466996954,1.3844963213160146,123,0.22764227642276422,0.024128992146456182,-0.07427280207968812,32.260162601626014,1.4057224400639186,confirmed_m200,250,85,5,soft,1.2,0.07,True,m200,False
0.02822637622690194,-0.5384857642012594,0.24780875508521932,0.05241805466996954,1.3844963213160146,123,0.22764227642276422,0.024128992146456182,-0.07427280207968812,32.260162601626014,1.4057224400639186,confirmed_m200_high,249,85,5,soft,1.2,0.07,True,m200,True
0.02822637622690194,-0.5384857642012594,0.24780875508521932,0.05241805466996954,1.3844963213160146,123,0.22764227642276422,0.024128992146456182,-0.07427280207968812,32.260162601626014,1.4057224400639186,m200_rs85,250,85,5,soft,1.2,0.07,True,m200,False
0.02822637622690194,-0.5384857642012594,0.24780875508521932,0.05241805466996954,1.3844963213160146,123,0.22764227642276422,0.024128992146456182,-0.07427280207968812,32.260162601626014,1.4057224400639186,m200_acc5,250,85,5,soft,1.2,0.07,True,m200,False
