Code,Name,Market,entry,exit,entry_px,exit_px,ret,reason,hold_days,sell_tax
111820,처음앤씨,KOSDAQ,2015-11-12,2015-11-18,181.1696969696968,168.15084254545437,-0.07492240263960426,stop,6,0.003
036570,엔씨소프트,KOSPI,2017-12-14,2017-12-19,199.58036809815894,185.23852284662522,-0.07492240263960426,stop,5,0.003
002390,한독,KOSPI,2018-03-15,2018-03-26,234.098214285714,217.27591660714256,-0.07492240263960426,stop,11,0.003
011780,금호석유,KOSPI,2016-12-16,2017-03-03,86.00951351351365,79.82886987243255,-0.07492240263960426,stop,77,0.003
017180,명문제약,KOSPI,2017-11-10,2017-11-29,317.5789976133651,294.7577708448687,-0.07492240263960426,stop,19,0.003
036570,엔씨소프트,KOSPI,2016-10-05,2016-10-12,122.73987730061324,113.91978971779118,-0.07492240263960426,stop,7,0.003
010140,삼성중공업,KOSPI,2017-03-02,2017-04-05,29.62549277266752,27.49660486202363,-0.07492240263960426,stop,34,0.003
139480,이마트,KOSPI,2017-04-10,2017-09-06,82.94333333333338,76.98302540000005,-0.07492240263960426,stop,149,0.003
200130,콜마비앤에이치,KOSDAQ,2017-10-26,2017-11-01,192.09032675248045,178.28671587204718,-0.07492240263960426,stop,6,0.003
078930,GS,KOSPI,2017-07-27,2017-08-14,133.42234042553196,123.83461104255322,-0.07492240263960426,stop,18,0.003
042670,두산인프라코어,KOSPI,2017-01-06,2017-01-23,75.31161290322586,69.89972040000004,-0.07492240263960437,stop,17,0.003
086390,유니테스트,KOSDAQ,2018-03-14,2018-04-04,840.566666666668,780.1635460000011,-0.07492240263960437,stop,21,0.003
000210,대림산업,KOSPI,2016-04-20,2016-05-04,101.17386609071261,93.90351207343399,-0.07492240263960437,stop,14,0.003
010120,LS산전,KOSPI,2018-01-11,2018-02-02,106.34080717488757,98.69915677130014,-0.07492240263960437,stop,22,0.003
104480,티케이케미칼,KOSDAQ,2015-10-06,2015-10-12,165.69658536585342,153.78962874146316,-0.07492240263960448,stop,6,0.003
034020,두산에너빌리티,KOSPI,2024-07-10,2024-07-12,65.10087209302316,60.344186046511545,-0.07501266380369853,stop,2,0.0018
004020,현대제철,KOSPI,2021-01-06,2021-01-28,52.61397849462373,48.707646356033536,-0.07665174049506407,stop,22,0.0023
008930,한미사이언스,KOSPI,2020-10-26,2020-10-28,498.9551020408158,461.93142857142806,-0.07679425930421835,stop,2,0.0025
189300,인텔리안테크,KOSDAQ,2022-06-03,2022-06-10,528.9149560117288,489.3419354838697,-0.07722435957072626,stop,7,0.0023
139480,이마트,KOSPI,2017-12-18,2017-12-27,105.21000000000002,97.39740740740743,-0.07731162277873838,stop,9,0.003
097800,윈팩,KOSDAQ,2021-03-09,2021-03-11,135.75483870967722,125.5548387096772,-0.07753973060299901,stop,2,0.0023
088800,에이스테크,KOSDAQ,2019-03-08,2019-03-11,159.8251851851856,147.60543209876582,-0.07950422797190482,stop,3,0.003
055550,신한지주,KOSPI,2016-12-09,2018-03-07,101.59763948497861,93.80343347639497,-0.07976278734820597,stop,453,0.003
054450,텔레칩스,KOSDAQ,2021-02-17,2021-02-23,532.8095238095219,491.0793650793633,-0.0807169760773857,stop,6,0.0023
048530,인트론바이오,KOSDAQ,2018-01-16,2018-02-05,361.8988235294121,332.6666666666669,-0.08380737997888787,stop,20,0.003
024110,기업은행,KOSPI,2017-12-22,2018-02-09,139.12066115702436,127.84297520661121,-0.08409609614065894,stop,49,0.003
066980,브레인콘텐츠,KOSDAQ,2021-02-22,2021-02-26,84.93774834437065,77.98940397350974,-0.08419208831499625,stop,4,0.0023
004000,롯데정밀화학,KOSPI,2022-04-26,2022-04-27,206.19190751445043,186.44716763005746,-0.09810971759560239,stop,1,0.0023
004870,티웨이홀딩스,KOSPI,2018-03-20,2018-03-23,210.55159474671672,187.2420262664165,-0.11364138336192864,stop,3,0.003
204620,글로벌텍스프리,KOSDAQ,2025-06-17,2025-08-01,292.174377358491,224.16084276729586,-0.23416483064796567,stop,45,0.0015
